Traffic,Hits,BW Out,BW In,Pkt Out,Pkt In,Bitrate Out,Bitrate In
Bittorrent,684,20251713,198527549,135182,182316,23686.2140350872
DHCP,20,18920,5624,55,16,15.136
DirectDownloadLink,12,96713,3892906,1385,2611,21491.777777776
DNS,3012,277643,881551,3532,3501,null
Flash,86,1737940,72782568,25434,48502,26944.8062015493
HTTP,7558,23623460,264200010,146103,210616,12502.49272294
ICMP,46,59048,17746,810,397,null
IGMP,22,4324,0,72,0,1572.36363636
Mail_SMTP,1,2111566,64459,1462,889,77134.8310502283
MDNS,12,35926,0,115,0,230.294871794846
MySQL,497,732899,6128305,7769,6568,5898.583501004
NETBIOS,239,119963,0,1121,0,0.00523869014797497
NTP,4,810,810,9,9,null
OGG,6,1134802,56149870,18811,37100,1513069.33333333
QuickTime,1,1023,1630,3,3,8184
SIP,2,10126,5090,48,42,135.464882943144
SNMP,5,39064,0,326,0,0.0801885448968045
SSDP,15,22346713,0,66802,0,1986374.48888889
SSH,5,2968013,75449832,43651,54774,527646.755555556
SSL,1079,4988408,65205001,38511,59035,18492.70806302
STUN,4,3290,378,47,3,6580
tcp,5732,69952133,112819170,116844,110218,12203.791521284
udp,309,61428,7691,503,32,null
Yahoo,9,96589,177615,1056,1036,4.04966222767266
